% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 19 2018, 15:58
% Dimension:          3
% Nodes:              4260
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-0.99039        -0.37194       1.7987         0.013436
-0.98774        -0.45475       1.9340         0.012698
-0.98774        -0.45475       1.9340         0.012636
-0.98774        0.45478        1.9340         0.012541
-0.98774        0.45478        1.9340         0.012535
-0.98762        0.17061        1.6467         0.014608
-0.98762        0.17061        1.6467         0.014606
-0.98752        -0.17262       1.6472         0.014717
-0.98752        -0.17262       1.6472         0.014720
-0.98653        -9.6772E-20    1.6134         0.015159
-0.98653        0.0000         1.6134         0.015153
-0.98653        -0.48657       2.1000         0.011860
-0.98653        0.48657        2.1000         0.011815
-0.98572        0.43687        1.8821         0.012863
-0.98571        -0.43686       1.8820         0.012951
-0.98133        0.41774        1.8308         0.013184
-0.98133        0.41774        1.8308         0.013251
-0.98131        -0.41774       1.8307         0.013311
-0.98131        -0.41774       1.8307         0.013253
-0.98020        -0.48845       1.9969         0.012282
-0.98020        -0.48845       1.9969         0.012433
-0.98018        0.48850        1.9969         0.012272
-0.98018        0.48850        1.9969         0.012388
-0.97870        0.11929        1.6122         0.015183
-0.97870        0.11929        1.6122         0.014901
-0.97864        -0.12132       1.6126         0.014993
-0.97864        -0.12132       1.6126         0.015398
-0.97047        0.32568        1.6974         0.014387
-0.97047        0.32568        1.6974         0.014422
-0.97047        0.32568        1.6974         0.014465
-0.97047        0.32568        1.6974         0.014519
-0.97047        0.32568        1.6974         0.014387
-0.97047        0.32568        1.6974         0.014146
-0.97042        -0.32579       1.6973         0.014232
-0.97042        -0.32579       1.6973         0.014376
-0.97042        -0.32579       1.6973         0.014376
-0.97042        -0.32579       1.6973         0.014237
-0.97042        -0.32579       1.6973         0.014238
-0.97042        -0.32579       1.6973         0.014216
-0.96803        0.27740        1.6573         0.014816
-0.96803        0.27740        1.6573         0.014705
-0.96789        -0.52009       2.0483         0.012072
-0.96788        0.52011        2.0483         0.012060
-0.96783        -0.27846       1.6576         0.014762
-0.96783        -0.27846       1.6576         0.014542
-0.96751        -0.060846      1.5802         0.015605
-0.96749        0.059821       1.5800         0.015490
-0.96553        0.37306        1.7277         0.013869
-0.96553        0.37306        1.7277         0.014107
-0.96549        -0.37312       1.7277         0.013935
-0.96549        -0.37312       1.7277         0.013980
-0.96246        0.22829        1.6188         0.015215
-0.96246        0.22829        1.6188         0.014931
-0.96220        -0.23033       1.6193         0.015205
-0.96220        -0.23033       1.6193         0.014930
-0.95806        0.41939        1.7591         0.013861
-0.95806        0.41939        1.7591         0.013637
-0.95802        -0.41941       1.7590         0.013684
-0.95802        -0.41941       1.7590         0.013767
-0.95711        -0.51977       1.9458         0.012509
-0.95711        -0.51977       1.9458         0.012510
-0.95711        -0.51977       1.9458         0.012510
-0.95711        -0.51977       1.9458         0.012564
-0.95711        -0.51977       1.9458         0.012510
-0.95711        -0.51977       1.9458         0.012789
-0.95707        0.51985        1.9458         0.012592
-0.95707        0.51985        1.9458         0.012595
-0.95707        0.51985        1.9458         0.012525
-0.95707        0.51985        1.9458         0.012525
-0.95707        0.51985        1.9458         0.012595
-0.95707        0.51985        1.9458         0.012751
-0.95645        -0.50263       1.8937         0.012780
-0.95645        -0.50263       1.8937         0.012778
-0.95643        0.50268        1.8937         0.012831
-0.95643        0.50268        1.8937         0.012826
-0.95375        0.17836        1.5818         0.015664
-0.95375        0.17836        1.5818         0.015200
-0.95375        0.17836        1.5818         0.015554
-0.95375        0.17836        1.5818         0.015199
-0.95375        0.17836        1.5818         0.015554
-0.95375        0.17836        1.5818         0.015633
-0.95352        -0.18139       1.5824         0.015710
-0.95352        -0.18139       1.5824         0.016028
-0.95352        -0.18139       1.5824         0.015711
-0.95352        -0.18139       1.5824         0.015730
-0.95352        -0.18139       1.5824         0.015383
-0.95352        -0.18139       1.5824         0.015272
-0.95343        -0.48426       1.8422         0.013093
-0.95343        -0.48426       1.8422         0.013090
-0.95343        0.48429        1.8422         0.013193
-0.95343        0.48429        1.8422         0.013106
-0.95265        -2.0327E-17    1.5500         0.015856
-0.95265        0.0000         1.5500         0.015850
-0.95265        -0.54996       2.1000         0.011902
-0.95265        0.54996        2.1000         0.011797
-0.94805        0.46468        1.7913         0.013648
-0.94805        0.46468        1.7913         0.013446
-0.94805        0.46468        1.7913         0.013549
-0.94805        0.46468        1.7913         0.013419
-0.94805        0.46468        1.7913         0.013633
-0.94803        -0.46466       1.7913         0.013734
-0.94803        -0.46466       1.7913         0.013475
-0.94803        -0.46466       1.7913         0.013450
-0.94803        -0.46466       1.7913         0.013595
-0.94803        -0.46466       1.7913         0.013450
-0.94587        -0.55200       1.9969         0.012367
-0.94587        -0.55200       1.9969         0.012335
-0.94585        0.55205        1.9970         0.012374
-0.94585        0.55205        1.9970         0.012320
-0.94433        0.11926        1.5486         0.016027
-0.94433        0.11926        1.5486         0.015904
-0.94428        -0.12130       1.5490         0.016173
-0.94428        -0.12130       1.5490         0.016150
-0.94010        0.38355        1.6768         0.014478
-0.94010        0.38355        1.6768         0.014477
-0.94004        -0.38382       1.6769         0.014318
-0.94004        -0.38382       1.6769         0.014558
-0.93397        0.34267        1.6307         0.014994
-0.93397        0.34267        1.6307         0.015059
-0.93394        -0.34352       1.6312         0.014992
-0.93394        -0.34352       1.6312         0.014996
-0.93336        0.43027        1.7080         0.014229
-0.93330        -0.43049       1.7081         0.014049
-0.93171        -0.58245       2.0484         0.012242
-0.93171        -0.58245       2.0484         0.012147
-0.93170        0.58247        2.0484         0.012091
-0.93170        0.58247        2.0484         0.012067
-0.93165        0.54860        1.8973         0.012772
-0.93165        0.54860        1.8973         0.012827
-0.93131        -0.060833      1.5178         0.016367
-0.93131        -0.060833      1.5178         0.016624
-0.93128        0.059807       1.5177         0.016630
-0.93128        0.059807       1.5177         0.016229
-0.93119        -0.54902       1.8964         0.012777
-0.93119        -0.54902       1.8964         0.012780
-0.92995        0.29379        1.5912         0.015420
-0.92982        -0.29561       1.5921         0.015399
-0.92940        0.53053        1.8456         0.013031
-0.92890        -0.53095       1.8446         0.013082
-0.92478        0.51124        1.7944         0.013485
