% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:13
% Dimension:          3
% Nodes:              14185
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-45.472         23.544         40.000         0.0000
-45.464         -25.999        40.000         0.0000
-45.409         -29.469        40.000         0.0000
-45.388         -19.585        40.000         0.0000
-45.366         -12.016        40.000         0.0000
-45.356         18.032         40.000         0.0000
-45.220         -21.448        40.000         0.0000
-45.144         -33.210        40.000         0.0000
-45.115         12.357         40.000         0.0000
-45.090         29.867         40.000         0.0000
-45.065         0.16395        40.000         0.0000
-45.055         33.513         40.000         0.0000
-45.025         20.059         40.000         0.0000
-45.005         26.208         40.000         0.0000
-44.827         -36.943        40.000         0.0000
-44.694         22.086         40.000         0.0000
-44.669         37.061         40.000         0.0000
-44.633         -24.424        40.000         0.0000
-44.449         -1.6544        40.000         0.0000
-44.440         1.9121         40.000         0.0000
-44.312         -27.647        40.000         0.0000
-44.299         -13.653        40.000         0.0000
-44.256         -31.116        40.000         0.0000
-44.227         24.750         40.000         0.0000
-44.126         13.908         40.000         0.0000
-44.122         31.571         40.000         0.0000
-44.068         -4.7898        40.000         0.0000
-44.037         27.912         40.000         0.0000
-43.987         40.806         40.000         0.0000
-43.987         -40.807        40.000         0.0000
-43.941         -9.8099        40.000         0.0000
-43.939         -34.849        40.000         0.0000
-43.912         5.0942         40.000         0.0000
-43.802         -22.849        40.000         0.0000
-43.737         35.119         40.000         0.0000
-43.687         -7.9253        40.000         0.0000
-43.554         10.259         40.000         0.0000
-43.450         23.292         40.000         0.0000
-43.383         8.2764         40.000         0.0000
-43.360         -38.647        40.000         0.0000
-43.253         -16.631        40.000         0.0000
-43.215         -25.824        40.000         0.0000
-43.203         38.766         40.000         0.0000
-43.159         -29.294        40.000         0.0000
-43.139         16.996         40.000         0.0000
-43.085         -18.494        40.000         0.0000
-43.068         29.616         40.000         0.0000
-43.051         -32.755        40.000         0.0000
-42.983         25.957         40.000         0.0000
-42.918         -20.357        40.000         0.0000
-42.873         -11.447        40.000         0.0000
-42.808         19.022         40.000         0.0000
-42.804         33.177         40.000         0.0000
-42.734         -36.488        40.000         0.0000
-42.600         -31.091        40.000         0.0000
-42.590         0.16603        40.000         0.0000
-42.565         11.810         40.000         0.0000
-42.477         21.049         40.000         0.0000
-42.427         42.426         40.000         0.0000
-42.426         -42.427        40.000         0.0000
-42.419         36.725         40.000         0.0000
-42.383         -24.249        40.000         0.0000
-42.340         31.497         40.000         0.0000
-42.210         -2.9694        40.000         0.0000
-42.205         24.499         40.000         0.0000
-42.062         -27.472        40.000         0.0000
-42.062         3.3482         40.000         0.0000
-42.015         27.661         40.000         0.0000
-41.846         -34.394        40.000         0.0000
-41.831         -40.295        40.000         0.0000
-41.829         -6.1048        40.000         0.0000
-41.828         -14.425        40.000         0.0000
-41.674         40.414         40.000         0.0000
-41.578         14.898         40.000         0.0000
-41.533         6.5303         40.000         0.0000
-41.503         -29.269        40.000         0.0000
-41.499         -21.758        40.000         0.0000
-41.486         34.783         40.000         0.0000
-41.448         -9.2403        40.000         0.0000
-41.395         -32.730        40.000         0.0000
-41.287         29.542         40.000         0.0000
-41.236         -38.164        40.000         0.0000
-41.233         22.256         40.000         0.0000
-41.022         33.103         40.000         0.0000
-41.005         9.7124         40.000         0.0000
-40.965         -25.650        40.000         0.0000
-40.961         25.706         40.000         0.0000
-40.943         -31.065        40.000         0.0000
-40.921         38.402         40.000         0.0000
-40.807         43.987         40.000         0.0000
-40.806         -43.987        40.000         0.0000
-40.783         -17.403        40.000         0.0000
-40.642         -36.033        40.000         0.0000
-40.615         -19.266        40.000         0.0000
-40.592         17.986         40.000         0.0000
-40.558         31.424         40.000         0.0000
-40.436         -41.699        40.000         0.0000
-40.406         -27.447        40.000         0.0000
-40.403         -12.218        40.000         0.0000
-40.261         20.012         40.000         0.0000
-40.233         27.588         40.000         0.0000
-40.206         41.873         40.000         0.0000
-40.190         -34.368        40.000         0.0000
-40.176         -0.86345       40.000         0.0000
-40.168         36.389         40.000         0.0000
-40.081         -23.158        40.000         0.0000
-40.028         1.6368         40.000         0.0000
-40.018         12.800         40.000         0.0000
-39.989         23.463         40.000         0.0000
-39.846         -29.243        40.000         0.0000
-39.841         -39.567        40.000         0.0000
-39.795         -3.9989        40.000         0.0000
-39.739         -32.704        40.000         0.0000
-39.704         34.710         40.000         0.0000
-39.505         29.469         40.000         0.0000
-39.499         4.8189         40.000         0.0000
-39.453         39.861         40.000         0.0000
-39.415         -7.1343        40.000         0.0000
-39.357         -15.197        40.000         0.0000
-39.287         -31.040        40.000         0.0000
-39.247         -37.436        40.000         0.0000
-39.240         33.030         40.000         0.0000
-39.196         -20.666        40.000         0.0000
-39.130         45.484         40.000         0.0000
-39.130         -45.485        40.000         0.0000
-39.031         15.888         40.000         0.0000
-39.017         21.219         40.000         0.0000
-38.971         8.0011         40.000         0.0000
-38.924         -9.6375        40.000         0.0000
-38.788         -43.228        40.000         0.0000
-38.776         31.350         40.000         0.0000
-38.700         37.848         40.000         0.0000
-38.558         43.402         40.000         0.0000
-38.513         -35.420        40.000         0.0000
-38.446         -40.971        40.000         0.0000
-38.386         -25.841        40.000         0.0000
-38.312         -18.175        40.000         0.0000
-38.294         26.118         40.000         0.0000
-38.277         10.538         40.000         0.0000
-38.250         35.629         40.000         0.0000
-38.062         -33.755        40.000         0.0000
-38.044         18.976         40.000         0.0000
-37.985         41.320         40.000         0.0000
-37.879         -12.616        40.000         0.0000
-37.851         -38.839        40.000         0.0000
-37.827         -27.637        40.000         0.0000
-37.786         33.949         40.000         0.0000
-37.761         -1.8929        40.000         0.0000
-37.613         0.60731        40.000         0.0000
-37.610         -32.091        40.000         0.0000
-37.565         27.999         40.000         0.0000
-37.502         -23.349        40.000         0.0000
-37.465         3.1075         40.000         0.0000
-37.398         46.919         40.000         0.0000
